@relation TestUser1

@attribute FeatureName1AccX numeric
@attribute FeatureName2AccX numeric
@attribute FeatureName3AccX numeric
@attribute FeatureName1AccY numeric
@attribute FeatureName2AccY numeric
@attribute FeatureName3AccY numeric
@attribute FeatureName1AccZ numeric
@attribute FeatureName2AccZ numeric
@attribute FeatureName3AccZ numeric
@attribute FeatureName1GyrX numeric
@attribute FeatureName2GyrX numeric
@attribute FeatureName3GyrX numeric
@attribute FeatureName1GyrY numeric
@attribute FeatureName2GyrY numeric
@attribute FeatureName3GyrY numeric
@attribute FeatureName1GyrZ numeric
@attribute FeatureName2GyrZ numeric
@attribute FeatureName3GyrZ numeric
@attribute class {1, 0}

@data

-0.229583, -0.245030, -0.221060, 0.151812, 0.138495, 0.157139, 0.425074, 0.404833, 0.434130, 5.491010, 5.404840, 5.548458, 0.221172, -0.129257, 0.550537, 7.917204, 7.712308, 8.143164, 0
-0.263940, -0.346238, -0.221060, 0.151280, 0.138495, 0.157139, 0.393913, 0.300961, 0.434130, 5.375158, 5.108028, 5.548458, 0.517984, -0.129257, 0.971818, 7.804224, 7.645287, 8.143164, 0
-0.304157, -0.410159, -0.221060, 0.146130, 0.133169, 0.157139, 0.340024, 0.181109, 0.434130, 5.253561, 4.973984, 5.548458, 0.730539, -0.129257, 1.268629, 7.841884, 7.645287, 8.143164, 0
-0.336118, -0.450110, -0.221060, 0.145021, 0.133169, 0.157139, 0.292039, 0.125179, 0.434130, 5.196593, 4.973984, 5.548458, 0.758305, -0.129257, 1.268629, 7.896140, 7.645287, 8.143164, 0
-0.360195, -0.460763, -0.221060, 0.145420, 0.133169, 0.157139, 0.259626, 0.122515, 0.434130, 5.167773, 4.973984, 5.548458, 0.615261, -0.483515, 1.268629, 7.963545, 7.645287, 8.516571, 0
-0.363728, -0.460763, -0.221060, 0.145509, 0.133169, 0.162466, 0.250712, 0.122515, 0.434130, 5.156220, 4.973984, 5.548458, 0.453515, -0.483515, 1.268629, 8.085078, 7.645287, 8.976151, 0
-0.344564, -0.460763, -0.189099, 0.156987, 0.133169, 0.287644, 0.263978, 0.122515, 0.434130, 5.174503, 4.973984, 5.548458, 0.475856, -0.483515, 1.268629, 8.254229, 7.645287, 9.368708, 0
-0.328594, -0.460763, -0.189099, 0.178113, 0.133169, 0.340912, 0.283050, 0.122515, 0.434130, 5.143933, 4.638875, 5.548458, 0.663756, -0.483515, 2.369704, 8.347341, 7.645287, 9.368708, 0
-0.325819, -0.460763, -0.189099, 0.191704, 0.133169, 0.340912, 0.288177, 0.122515, 0.434130, 5.066751, 4.389936, 5.548458, 0.814795, -0.483515, 2.369704, 8.388485, 7.645287, 9.368708, 0
